2026-07-23 10:44:39,477 | INFO | tool_registry | [----------] Registrando tool servidor: window_focus
2026-07-23 10:44:39,477 | INFO | tool_registry | [----------] Registrando tool servidor: window_close
2026-07-23 10:44:39,477 | INFO | tool_registry | [----------] Registrando tool servidor: run_command
2026-07-23 10:44:39,478 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.instagram_tools
2026-07-23 10:44:39,478 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_post_media
2026-07-23 10:44:39,478 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_get_engagement
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.comfy_tools
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_load_workflow
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_generate_image
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.mail_tools
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: mail_receive_mock_emails
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: mail_classify_emails
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_unread_summary
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: mail_list_emails
2026-07-23 10:44:39,480 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_email
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_open_ui
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_close_ui
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_send_email
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_delete_email
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_reply_email
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_forward_email
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_generate_draft
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: mail_set_invoice_folder
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.memory_tools
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: save_user_preference
2026-07-23 10:44:39,481 | INFO | tool_registry | [----------] Registrando tool servidor: forget_user_fact
2026-07-23 10:44:39,482 | INFO | tool_registry | [----------] Registrando tool servidor: get_user_profile
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.market_research_tools
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Registrando tool servidor: market_analyze_niche
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Registrando tool servidor: market_generate_proposal
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.calendar_tools
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_create_event
2026-07-23 10:44:39,483 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_list_events
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_delete_event
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_open_ui
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_close_ui
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_update_event
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.filesystem_tools
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: create_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: read_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: list_directory
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: create_directory
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: append_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: delete_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: delete_directory
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: move_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: rename_file
2026-07-23 10:44:39,484 | INFO | tool_registry | [----------] Registrando tool servidor: replace_file_content
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): create_file
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): read_file
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): append_file
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): delete_file
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): list_directory
2026-07-23 10:44:39,485 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): replace_file_content
2026-07-23 10:45:13,883 | INFO | tool_registry | [----------] coerce_and_validate(create_file): recuperado tras heurística — campos desconocidos ignorados para 'create_file': ['output_path']; campo 'path' rellenado desde clave no reconocida 'output_path' (modo permisivo, heurística por similitud de nombre)
2026-07-23 10:45:13,885 | INFO | tool_registry | [----------] coerce_and_validate(create_file): campos desconocidos ignorados para 'create_file': ['campo_inventado']
2026-07-23 10:45:13,903 | WARNING | tool_registry | [----------] Tool servidor inexistente this_tool_does_not_exist
2026-07-23 11:18:35,691 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.browser_tools
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_navigate
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_click
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_fill
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_screenshot
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_get_text
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_inspect
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_search
2026-07-23 11:18:35,692 | INFO | tool_registry | [----------] Registrando tool servidor: browser_close
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.system_tools
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: system_info
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: open_application
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: close_application
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: get_current_datetime
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: open_url
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: screenshot
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_move
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_click
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_drag
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_type
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_hotkey
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_screenshot
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_image
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: find_on_screen
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: window_list
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: window_focus
2026-07-23 11:18:35,693 | INFO | tool_registry | [----------] Registrando tool servidor: window_close
2026-07-23 11:18:35,694 | INFO | tool_registry | [----------] Registrando tool servidor: run_command
2026-07-23 11:18:35,694 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.instagram_tools
2026-07-23 11:18:35,695 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_post_media
2026-07-23 11:18:35,695 | INFO | tool_registry | [----------] Registrando tool servidor: instagram_get_engagement
2026-07-23 11:18:35,695 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.comfy_tools
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_load_workflow
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: comfy_generate_image
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.mail_tools
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_receive_mock_emails
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_classify_emails
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_unread_summary
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_list_emails
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_email
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_open_ui
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_close_ui
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_send_email
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_delete_email
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_reply_email
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_forward_email
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_generate_draft
2026-07-23 11:18:35,696 | INFO | tool_registry | [----------] Registrando tool servidor: mail_set_invoice_folder
2026-07-23 11:18:35,697 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.memory_tools
2026-07-23 11:18:35,697 | INFO | tool_registry | [----------] Registrando tool servidor: save_user_preference
2026-07-23 11:18:35,697 | INFO | tool_registry | [----------] Registrando tool servidor: forget_user_fact
2026-07-23 11:18:35,697 | INFO | tool_registry | [----------] Registrando tool servidor: get_user_profile
2026-07-23 11:18:35,698 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.market_research_tools
2026-07-23 11:18:35,698 | INFO | tool_registry | [----------] Registrando tool servidor: market_analyze_niche
2026-07-23 11:18:35,698 | INFO | tool_registry | [----------] Registrando tool servidor: market_generate_proposal
2026-07-23 11:18:35,698 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.calendar_tools
2026-07-23 11:18:35,698 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_create_event
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_list_events
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_delete_event
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_open_ui
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_close_ui
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_update_event
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.filesystem_tools
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: create_file
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: read_file
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: list_directory
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: create_directory
2026-07-23 11:18:35,699 | INFO | tool_registry | [----------] Registrando tool servidor: append_file
